pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
WR,670,66.27%,0,0%,1,.22%,JoneDo00,Donald Jones,buf
WR,115,11.37%,0,0%,253,54.53%,MartRu00,Ruvell Martin,buf
WR,696,68.84%,0,0%,1,.22%,GrahT.00,T.J. Graham,buf
WR,314,31.06%,0,0%,260,56.03%,SmitBr01,Brad Smith,buf
WR,28,2.77%,0,0%,0,0%,NelsDa01,David Nelson,buf
WR,4,.40%,0,0%,25,5.39%,EaslMa00,Marcus Easley,buf
TE,749,74.09%,0,0%,59,12.72%,ChanSc00,Scott Chandler,buf
TE,286,28.29%,0,0%,210,45.26%,SmitLe00,Lee Smith,buf
T,803,79.43%,0,0%,48,10.34%,GlenCo00,Cordy Glenn,buf
T,378,37.39%,0,0%,27,5.82%,PearEr20,Erik Pears,buf
T,568,56.18%,0,0%,40,8.62%,HairCh00,Chris Hairston,buf
T,333,32.94%,0,0%,47,10.13%,YounSa21,Sam Young,buf
T,7,.69%,0,0%,8,1.72%,WelcTh20,Thomas Welch,buf
G,783,77.45%,0,0%,50,10.78%,UrbiKr20,Kraig Urbik,buf
G,1011,100.00%,0,0%,8,1.72%,LeviAn20,Andy Levitre,buf
G,164,16.22%,0,0%,25,5.39%,RineCh20,Chad Rinehart,buf
G,0,0%,0,0%,6,1.29%,WillKe04,Keith Williams,buf
C,872,86.25%,0,0%,0,0%,WoodEr20,Eric Wood,buf
C,19,1.88%,0,0%,1,.22%,BrowCo23,Colin Brown,buf
C,133,13.16%,0,0%,8,1.72%,SnowDa00,David Snow,buf
DE,0,0%,929,85.39%,32,6.90%,WillMa22,Mario Williams,buf
DE,0,0%,787,72.33%,95,20.47%,DareMa00,Marcell Dareus,buf
DE,0,0%,289,26.56%,48,10.34%,KelsCh21,Chris Kelsay,buf
DE,0,0%,244,22.43%,33,7.11%,AndeMa21,Mark Anderson,buf
DE,0,0%,491,45.13%,13,2.80%,MoorKy99,Kyle Moore,buf
DT,3,.30%,793,72.89%,20,4.31%,WillKy20,Kyle Williams,buf
DT,0,0%,342,31.43%,234,50.43%,CarrAl99,Alex Carrington,buf
DT,0,0%,264,24.26%,128,27.59%,JohnSp20,Spencer Johnson,buf
DT,0,0%,8,.74%,0,0%,RossJa00,Jay Ross,buf
LB,0,0%,999,91.82%,18,3.88%,BarnNi20,Nick Barnett,buf
LB,0,0%,503,46.23%,174,37.50%,ShepKe00,Kelvin Sheppard,buf
LB,0,0%,590,54.23%,172,37.07%,ScotBr20,Bryan Scott,buf
LB,0,0%,122,11.21%,235,50.65%,MoatAr00,Arthur Moats,buf
LB,0,0%,8,.74%,357,76.94%,WhitCh03,Chris White,buf
LB,0,0%,395,36.31%,280,60.34%,BradNi00,Nigel Bradham,buf
LB,0,0%,0,0%,34,7.33%,MorrKi20,Kirk Morrison,buf
